,price,inCircle,i,j
data_0-0,198156,True,0,0
data_0-1,198156,True,0,1
data_0-2,198156,True,0,2
data_0-3,254792,True,0,3
data_0-4,254792,True,0,4
data_0-5,285319,True,0,5
data_0-6,232988,True,0,6
data_0-7,324713,True,0,7
data_0-8,413798,True,0,8
data_0-9,337067,True,0,9
data_0-10,285978,True,0,10
data_0-11,285978,True,0,11
data_0-12,287021,True,0,12
data_1-0,198156,True,1,0
data_1-1,198156,True,1,1
data_1-2,198156,True,1,2
data_1-3,254792,True,1,3
data_1-4,254792,True,1,4
data_1-5,285319,True,1,5
data_1-6,285319,True,1,6
data_1-7,244022,True,1,7
data_1-8,244022,True,1,8
data_1-10,285978,True,1,10
data_1-11,285978,True,1,11
data_1-12,256627,True,1,12
data_2-0,216380,True,2,0
data_2-1,198156,True,2,1
data_2-2,198156,True,2,2
data_2-3,254792,True,2,3
data_2-5,285319,True,2,5
data_2-6,270618,True,2,6
data_2-7,270618,True,2,7
data_2-8,248825,True,2,8
data_2-10,212215,True,2,10
data_3-0,216380,True,3,0
data_3-1,216380,True,3,1
data_3-3,216380,True,3,3
data_3-4,139139,True,3,4
data_3-5,139139,True,3,5
data_3-6,270618,True,3,6
data_3-7,270618,True,3,7
data_3-8,248825,True,3,8
data_3-9,212215,True,3,9
data_3-10,212215,True,3,10
data_3-11,177907,True,3,11
data_3-12,252789,True,3,12
data_4-0,216380,True,4,0
data_4-1,216380,True,4,1
data_4-2,216380,True,4,2
data_4-3,216380,True,4,3
data_4-4,139139,True,4,4
data_4-5,258482,True,4,5
data_4-7,225800,True,4,7
data_4-8,258482,True,4,8
data_4-9,168658,True,4,9
data_4-10,180828,True,4,10
data_4-11,146429,True,4,11
data_4-12,252789,True,4,12
data_5-0,256627,True,5,0
data_5-1,216380,True,5,1
data_5-2,256627,True,5,2
data_5-3,119710,True,5,3
data_5-4,119710,True,5,4
data_5-5,119710,True,5,5
data_5-6,101772,True,5,6
data_5-7,225800,True,5,7
data_5-8,107145,True,5,8
data_5-9,168658,True,5,9
data_5-10,107145,True,5,10
data_5-11,146429,True,5,11
data_5-12,183263,True,5,12
data_6-0,216380,True,6,0
data_6-1,256627,True,6,1
data_6-2,216380,True,6,2
data_6-3,216380,True,6,3
data_6-4,119710,True,6,4
data_6-5,119710,True,6,5
data_6-6,101772,True,6,6
data_6-7,87048,True,6,7
data_6-8,107145,True,6,8
data_6-9,107145,True,6,9
data_6-10,107145,True,6,10
data_6-11,183263,True,6,11
data_6-12,183263,True,6,12
data_7-0,256627,True,7,0
data_7-1,256627,True,7,1
data_7-2,216380,True,7,2
data_7-3,256627,True,7,3
data_7-4,256627,True,7,4
data_7-5,77803,True,7,5
data_7-6,77803,True,7,6
data_7-7,88164,True,7,7
data_7-8,107145,True,7,8
data_7-11,183263,True,7,11
data_7-12,183263,True,7,12
data_8-0,256627,True,8,0
data_8-1,216380,True,8,1
data_8-2,256627,True,8,2
data_8-3,77803,True,8,3
data_8-4,256627,True,8,4
data_8-6,88164,True,8,6
data_8-7,88164,True,8,7
data_8-8,88164,True,8,8
data_8-11,302972,True,8,11
data_8-12,302972,True,8,12
data_9-0,256627,True,9,0
data_9-1,256627,True,9,1
data_9-2,251865,True,9,2
data_9-3,256627,True,9,3
data_9-4,256627,True,9,4
data_9-6,302972,True,9,6
data_9-7,249622,True,9,7
data_9-8,249622,True,9,8
data_9-9,302972,True,9,9
data_9-10,302972,True,9,10
data_9-11,302972,True,9,11
data_9-12,302972,True,9,12
